url,Elon,Mask,Tesla,
https://en.wikipedia.org/wiki/Tesla,_Inc. ,109,0,1008,1117
https://en.wikipedia.org/wiki/Elon_Musk#searchInput ,314,0,177,491
https://en.wikipedia.org/wiki/Elon_Musk#mw-head ,314,0,177,491
https://en.wikipedia.org/wiki/Elon_Musk ,314,0,177,491
https://en.wikipedia.org/wiki/The_Boring_Company ,87,0,24,111
https://en.wikipedia.org/wiki/SpaceX ,53,0,22,75
https://en.wikipedia.org/wiki/Neuralink ,41,0,11,52
https://en.wikipedia.org/wiki/OpenAI ,28,0,13,41
https://en.wikipedia.org/wiki/X.com ,16,0,8,24
https://en.wikipedia.org/wiki/PayPal ,8,0,8,16
